"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"LFTS_00001",0,NA,NA,NA,NA,NA
"LFTS_00002",0.106108575871872,0.715182291825087,4.44881820105915,0.160757814660716,0.872284152025934,NA
"LFTS_00003",0.0553109349111395,1.66628520412237,4.55804545242791,0.365570115856304,0.714685877865249,NA
"LFTS_00004",0,NA,NA,NA,NA,NA
"LFTS_00005",0.0553109349111395,1.66628520412237,4.55804545242791,0.365570115856304,0.714685877865249,NA
"LFTS_00006",0,NA,NA,NA,NA,NA
"LFTS_00007",0,NA,NA,NA,NA,NA
"LFTS_00008",0,NA,NA,NA,NA,NA
"LFTS_00010",0,NA,NA,NA,NA,NA
"LFTS_00011",0,NA,NA,NA,NA,NA
"LFTS_00012",0,NA,NA,NA,NA,NA
"LFTS_00013",0,NA,NA,NA,NA,NA
"LFTS_00014",0,NA,NA,NA,NA,NA
"LFTS_00015",0,NA,NA,NA,NA,NA
"LFTS_00016",0,NA,NA,NA,NA,NA
"LFTS_00017",0,NA,NA,NA,NA,NA
"LFTS_00018",0,NA,NA,NA,NA,NA
"LFTS_00019",0,NA,NA,NA,NA,NA
"LFTS_00020",0,NA,NA,NA,NA,NA
"LFTS_00021",0,NA,NA,NA,NA,NA
"LFTS_00022",0,NA,NA,NA,NA,NA
"LFTS_00023",0,NA,NA,NA,NA,NA
"LFTS_00024",0,NA,NA,NA,NA,NA
"LFTS_00025",0.0553109349111395,1.66628520412237,4.55804545242791,0.365570115856304,0.714685877865249,NA
"LFTS_00027",0.0530542879359362,1.69666201419798,4.56039799273687,0.372042531572941,0.709861182973796,NA
"LFTS_00028",0,NA,NA,NA,NA,NA
"LFTS_00029",0,NA,NA,NA,NA,NA
"LFTS_00030",0,NA,NA,NA,NA,NA
"LFTS_00031",0,NA,NA,NA,NA,NA
"LFTS_00032",0,NA,NA,NA,NA,NA
"LFTS_00033",0,NA,NA,NA,NA,NA
"LFTS_00034",0,NA,NA,NA,NA,NA
"LFTS_00035",0,NA,NA,NA,NA,NA
"LFTS_00036",0,NA,NA,NA,NA,NA
"LFTS_00037",7.65242321075362,2.60949627719646,0.863431741476182,3.02223806682748,0.00250913129171162,0.0136257460874406
"LFTS_00038",0,NA,NA,NA,NA,NA
