Category,ID,Gene,Function
ATP synthase,LFTS_00930,ATPA,Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit (By similarity)
ATP synthase,LFTS_00926,ATPB,it plays a direct role in the translocation of protons across the membrane (By similarity)
ATP synthase,LFTS_00933,ATPC,Produces ATP from ADP in the presence of a proton gradient across the membrane (By similarity)
ATP synthase,LFTS_00932,ATPD,Produces ATP from ADP in the presence of a proton gradient across the membrane. The catalytic sites are hosted primarily by the beta subunits (By similarity)
ATP synthase,LFTS_00928,ATPF,F(1)F(0) ATP synthase produces ATP from ADP in the presence of a proton or sodium gradient. F-type ATPases consist of two structural domains, F(1) containing the extramembraneous catalytic core and F(0) containing the membrane proton channel, linked together by a central stalk and a peripheral stalk. During catalysis, ATP synthesis in the catalytic domain of F(1) is coupled via a rotary mechanism of the central stalk subunits to proton translocation (By similarity)
ATP synthase,LFTS_00931,ATPG,Produces ATP from ADP in the presence of a proton gradient across the membrane. The gamma chain is believed to be important in regulating ATPase activity and the flow of protons through the CF(0) complex (By similarity)
Carbon fixation,LFTS_00780,FORA,pyruvate flavodoxin ferredoxin oxidoreductase
Carbon fixation,LFTS_00777,FORE,Ferredoxin
Carbon fixation,LFTS_02439,FUMC,fumarate hydratase class II
Carbon fixation,LFTS_01771,MDH,Catalyzes the reversible oxidation of malate to oxaloacetate (By similarity)
Carbon fixation,LFTS_01475,SUCC,Succinyl-CoA synthetase subunit beta
Carbon fixation,LFTS_01476,SUCD,Succinyl-CoA ligase ADP-forming subunit alpha
Chemotaxis,LFTS_01094,CHEA,CheA signal transduction histidine kinase
Chemotaxis,LFTS_01095,CHEB,catalyzes the demethylation of specific methylglutamate residues introduced into the chemoreceptors (methyl-accepting chemotaxis proteins) by CheR (By similarity)
Chemotaxis,LFTS_01692,CHEV,response regulator receiver modulated chew protein
Chemotaxis,LFTS_01097,CHEW1,chew protein
Chemotaxis,LFTS_01093,CHEY,response regulator receiver protein
Chemotaxis,LFTS_01098,MOTA,MotA TolQ exbB proton channel
Chemotaxis,LFTS_01099,MOTB,ompa motb domain protein
Metal resistance,LFTS_01643,ARSB,arsenical pump membrane protein
Metal resistance,LFTS_01644,ARSC,Protein tyrosine phosphatase
Metal resistance,LFTS_02161,ARSM,methyltransferase, type 11
Metal resistance,LFTS_00428,ARSR,Transcriptional regulator, arsr family
Metal resistance,LFTS_01188,COPB,p-type ATPase
Metal resistance,LFTS_01814,CUSA,Heavy metal efflux pump, CzcA
Metal resistance,LFTS_00757,CUSB,Efflux transporter rnd family, mfp subunit
Metal resistance,LFTS_01033,CUSB,Efflux transporter rnd family, mfp subunit
Metal resistance,LFTS_01815,CUSB,Efflux transporter rnd family, mfp subunit
Metal resistance,LFTS_02638,CUSB,Efflux transporter rnd family, mfp subunit
Metal resistance,LFTS_01573,CUTA,tolerance protein
Metal resistance,LFTS_01034,CZCA,Heavy metal efflux pump, CzcA
Metal resistance,LFTS_02637,CZCA,Heavy metal efflux pump, CzcA
Metal resistance,LFTS_00357,CZCD,cation diffusion facilitator family transporter
Metal resistance,LFTS_00219,MERA,pyridine nucleotide-disulfide oxidoreductase
Metal resistance,LFTS_01448,MERA,mercuric reductase
Metal resistance,LFTS_02028,MERA,mercuric reductase
Motility,LFTS_01090,FLEN,site-determining protein
Motility,LFTS_00741,FLEQ,sigma54 specific transcriptional regulator Fis family
Motility,LFTS_01064,FLEQ,two component, sigma54 specific, transcriptional regulator, Fis family
Motility,LFTS_01068,FLER,sigma54 specific transcriptional regulator Fis family
Motility,LFTS_01066,FLES,Histidine kinase
Motility,LFTS_01069,FLGB,Structural component of flagellum, the bacterial motility apparatus. Part of the rod structure of flagellar basal body (By similarity)
Motility,LFTS_01070,FLGC,flagellar basal-body rod protein flgc
Motility,LFTS_01079,FLGD,Flagellar hook capping protein
Motility,LFTS_01080,FLGE,flagellar hook protein, FlgE
Motility,LFTS_00669,FLGF,flagellar basal-body rod protein
Motility,LFTS_00670,FLGF,flagellar basal-body rod protein
Motility,LFTS_00668,FLGG,flagellar basal-body rod protein FlgG
Motility,LFTS_00665,FLGI,Assembles around the rod to form the L-ring and probably protects the motor basal body from shearing forces during rotation (By similarity)
Motility,LFTS_00660,FLGK,flagellar hook-associated protein
Motility,LFTS_00659,FLGL,flagellar hook-associated protein
Motility,LFTS_01088,FLHA,Flagellar biosynthesis protein flha
Motility,LFTS_01087,FLHB,flagellar biosynthetic protein flhB
Motility,LFTS_01103,FLHB2,flagellar
Motility,LFTS_01089,FLHF,flagellar biosynthesis regulator FlhF
Motility,LFTS_01091,FLIA,Sigma factors are initiation factors that promote the attachment of RNA polymerase to specific initiation sites and are then released (By similarity)
Motility,LFTS_00656,FLIC,Flagellin
Motility,LFTS_00663,FLIC,Flagellin
Motility,LFTS_00655,FLID,flagellar hook-associated
Motility,LFTS_01071,FLIE,flagellar hook-basal body complex protein fliE
Motility,LFTS_01072,FLIF,The M ring may be actively involved in energy transduction (By similarity)
Motility,LFTS_01073,FLIG,FliG is one of three proteins (FliG, FliN, FliM) that forms the rotor-mounted switch complex (C ring), located at the base of the basal body. This complex interacts with the CheY and CheZ chemotaxis proteins, in addition to contacting components of the motor that determine the direction of flagellar rotation (By similarity)
Motility,LFTS_01075,FLII,Flagellum-specific ATP synthase
Motility,LFTS_01081,FLIL,Flagellar basal body-associated protein FliL
Motility,LFTS_00639,FLIM,FliM is one of three proteins (FliG, FliN, FliM) that forms the rotor-mounted switch complex (C ring), located at the base of the basal body. This complex interacts with the CheY and CheZ chemotaxis proteins, in addition to contacting components of the motor that determine the direction of flagellar rotation (By similarity)
Motility,LFTS_01082,FLIN,Flagellar motor switch protein
Motility,LFTS_01084,FLIP,Flagellar biosynthetic protein FliP
Motility,LFTS_01085,FLIQ,Flagellar biosynthetic protein fliq
Motility,LFTS_01086,FLIR,Role in flagellar biosynthesis (By similarity)
Motility,LFTS_00657,FLIW,Binds to the C-terminal region of flagellin, which is implicated in polymerization, and participates in the assembly of the flagellum (By similarity)
NADH dehydrogenase,LFTS_00455,NDH,NADH dehydrogenase
NADH dehydrogenase,LFTS_00126,NDHF,NADH dehydrogenase
NADH dehydrogenase,LFTS_00134,NDHF,NADH dehydrogenase
NADH dehydrogenase,LFTS_00637,NDHF,NADH dehydrogenase subunit 5
NADH dehydrogenase,LFTS_02092,NDHF,NADH dehydrogenase
NADH dehydrogenase,LFTS_01576,NUOA,NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain
NADH dehydrogenase,LFTS_01577,NUOB,NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)
NADH dehydrogenase,LFTS_01578,NUOC,NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain
NADH dehydrogenase,LFTS_01579,NUOD,NDH-1 shuttles electrons from NADH, via FMN and iron- sulfur (Fe-S) centers, to quinones in the respiratory chain. The immediate electron acceptor for the enzyme in this species is believed to be ubiquinone. Couples the redox reaction to proton translocation (for every two electrons transferred, four hydrogen ions are translocated across the cytoplasmic membrane), and thus conserves the redox energy in a proton gradient (By similarity)
NADH dehydrogenase,LFTS_00395,NUOE,NADH dehydrogenase (Ubiquinone), 24 kDa subunit
NADH dehydrogenase,LFTS_01580,NUOE,NADH dehydrogenase (Ubiquinone), 24 kDa subunit
NADH dehydrogenase,LFTS_02367,NUOF,NADH dehydrogenase
NADH dehydrogenase,LFTS_02685,NUOF,NADH dehydrogenase
NADH dehydrogenase,LFTS_01582,NUOF-1,NADH dehydrogenase
NADH dehydrogenase,LFTS_01583,NUOG,oxidoreductase
